iter	Passed	Remaining
0	42	21186
1	89	22165
2	144	23911
3	185	22976
4	215	21373
5	258	21319
6	301	21266
7	344	21188
8	415	22653
9	463	22693
10	511	22726
11	557	22684
12	604	22653
13	651	22625
14	748	24186
15	808	24453
16	855	24300
17	901	24152
18	953	24136
19	1015	24372
20	1067	24354
21	1118	24292
22	1175	24378
23	1224	24277
24	1269	24124
25	1313	23941
26	1359	23813
27	1397	23555
28	1437	23353
29	1486	23292
30	1525	23075
31	1572	22993
32	1615	22856
33	1656	22710
34	1701	22609
35	1741	22452
36	1780	22284
37	1819	22120
38	1855	21934
39	1893	21776
40	1932	21636
41	1970	21488
42	2012	21390
43	2057	21323
44	2098	21218
45	2141	21134
46	2180	21013
47	2220	20913
48	2258	20784
49	2296	20671
50	2333	20543
51	2377	20479
52	2420	20414
53	2466	20371
54	2509	20300
55	2548	20204
56	2582	20072
57	2617	19950
58	2652	19824
59	2687	19711
60	2727	19631
61	2769	19563
62	2807	19474
63	2843	19368
64	2881	19286
65	2919	19197
66	2955	19102
67	2992	19012
68	3033	18946
69	3071	18869
70	3111	18799
71	3153	18744
72	3189	18658
73	3224	18562
74	3260	18476
75	3301	18419
76	3335	18324
77	3372	18244
78	3415	18199
79	3453	18129
80	3493	18071
81	3533	18011
82	3586	18017
83	3629	17973
84	3672	17930
85	3702	17825
86	3739	17753
87	3771	17659
88	3806	17580
89	3841	17500
90	3877	17425
91	3910	17340
92	3945	17266
93	3981	17194
94	4011	17101
95	4050	17047
96	4089	16992
97	4125	16922
98	4161	16854
99	4201	16806
100	4244	16766
101	4282	16711
102	4320	16651
103	4359	16599
104	4394	16532
105	4435	16487
106	4492	16500
107	4537	16469
108	4575	16412
109	4612	16352
110	4653	16307
111	4691	16253
112	4718	16158
113	4756	16103
114	4799	16066
115	4843	16034
116	4884	15989
117	4910	15897
118	4946	15835
119	4986	15791
120	5023	15734
121	5059	15677
122	5096	15621
123	5134	15568
124	5172	15516
125	5211	15467
126	5250	15420
127	5295	15390
128	5339	15355
129	5382	15318
130	5419	15265
131	5454	15207
132	5512	15209
133	5555	15175
134	5595	15128
135	5629	15068
136	5669	15021
137	5709	14977
138	5745	14922
139	5781	14867
140	5825	14831
141	5876	14814
142	5928	14800
143	5977	14777
144	6046	14803
145	6094	14776
146	6134	14731
147	6175	14688
148	6213	14637
149	6253	14590
150	6291	14540
151	6331	14496
152	6369	14446
153	6406	14392
154	6459	14378
155	6503	14341
156	6542	14294
157	6582	14247
158	6616	14189
159	6656	14144
160	6693	14092
161	6730	14043
162	6772	14002
163	6815	13962
164	6857	13923
165	6907	13898
166	6952	13862
167	6994	13822
168	7037	13782
169	7076	13736
170	7118	13695
171	7159	13653
172	7201	13612
173	7220	13528
174	7261	13485
175	7305	13449
176	7348	13410
177	7388	13366
178	7426	13318
179	7480	13298
180	7577	13355
181	7641	13351
182	7687	13316
183	7730	13275
184	7772	13234
185	7813	13190
186	7857	13151
187	7905	13119
188	7951	13084
189	7993	13041
190	8049	13022
191	8089	12976
192	8133	12937
193	8183	12907
194	8223	12862
195	8266	12821
196	8312	12785
197	8355	12744
198	8398	12702
199	8450	12675
200	8502	12647
201	8548	12611
202	8591	12569
203	8630	12522
204	8669	12475
205	8705	12423
206	8740	12372
207	8773	12317
208	8812	12269
209	8851	12222
210	8888	12174
211	8930	12131
212	8965	12080
213	9001	12029
214	9036	11978
215	9069	11924
216	9106	11876
217	9145	11830
218	9185	11786
219	9221	11736
220	9256	11685
221	9286	11629
222	9328	11587
223	9365	11539
224	9400	11489
225	9438	11443
226	9471	11390
227	9508	11342
228	9542	11292
229	9575	11241
230	9613	11195
231	9652	11150
232	9694	11108
233	9745	11078
234	9794	11044
235	9839	11007
236	9883	10967
237	9925	10926
238	9968	10885
239	10007	10840
240	10043	10793
241	10081	10748
242	10120	10703
243	10161	10660
244	10206	10622
245	10241	10574
246	10275	10524
247	10311	10477
248	10352	10435
249	10386	10386
250	10425	10342
251	10462	10296
252	10501	10252
253	10538	10206
254	10575	10160
255	10605	10108
256	10639	10059
257	10675	10013
258	10713	9968
259	10751	9924
260	10791	9882
261	10831	9839
262	10867	9793
263	10903	9747
264	10944	9705
265	10990	9668
266	11027	9623
267	11068	9581
268	11108	9539
269	11152	9500
270	11207	9470
271	11244	9425
272	11279	9379
273	11318	9335
274	11355	9290
275	11390	9244
276	11429	9201
277	11461	9152
278	11496	9106
279	11534	9062
280	11574	9021
281	11614	8978
282	11650	8933
283	11688	8889
284	11724	8844
285	11768	8806
286	11811	8765
287	11844	8718
288	11877	8671
289	11909	8624
290	11946	8579
291	11980	8534
292	12014	8488
293	12053	8445
294	12086	8399
295	12119	8352
296	12160	8311
297	12199	8269
298	12233	8223
299	12270	8180
300	12310	8138
301	12353	8099
302	12401	8063
303	12444	8023
304	12487	7983
305	12526	7941
306	12571	7903
307	12619	7866
308	12661	7826
309	12713	7791
310	12753	7750
311	12797	7711
312	12837	7669
313	12879	7629
314	12919	7587
315	12960	7546
316	13002	7506
317	13043	7464
318	13081	7422
319	13120	7380
320	13159	7338
321	13203	7298
322	13245	7258
323	13290	7219
324	13337	7181
325	13377	7139
326	13417	7098
327	13451	7053
328	13490	7011
329	13530	6970
330	13567	6927
331	13611	6887
332	13656	6848
333	13694	6806
